year,statefip,state,abbrev,ins_public,ins_private,median_hhincome,race_white_wra_esi,race_black_wra_esi,race_asian_wra_esi,race_hispanic_wra_esi,supply_pct_wra_no_maternity_hosp,supply_prim_care_per_10k,supply_obgyn_per_10k,supply_rhc_fqhc_per_100k,male_vasectomy,otc,extended_supply,pharmacy_access
2013,47,Tennessee,TN,.34635538,.51225418,43900,.76117015,.17438869,.021739252,.024019908,.31655687,7.2644949,1.2038218,3.2635579,0,0,0,0
2013,48,Texas,TX,.28363386,.4922086,51000,.49414274,.12459767,.060734902,.29850331,.068760209,5.9531479,1.1093385,2.3857963,0,0,0,0
2013,49,Utah,UT,.21383743,.65020585,59504,.83089226,.0075077484,.038401004,.095516726,.055710107,5.7431006,1.0307245,1.5857301,0,0,0,0
2013,50,Vermont,VT,.40698019,.52268481,51500,.93475938,.007456922,.020647652,.016800357,.20108308,11.346409,1.7235051,8.457942,0,0,0,0
2013,51,Virginia,VA,.25692105,.61921531,62200,.64812309,.16861778,.082229085,.069239967,.3205497,7.5250549,1.2590182,1.949057,0,0,0,0
2013,53,Washington,WA,.29323381,.56571144,58000,.71847856,.029568836,.10898554,.083153516,.050190747,8.4330187,1.0198803,3.6577988,0,0,0,1
2013,54,West Virginia,WV,.38849401,.47251314,40800,.94026881,.028033495,.0077124112,.0099578649,.30897295,7.7818956,.90060747,13.697862,0,0,0,0
2013,55,Wisconsin,WI,.32150328,.58583111,50200,.85472864,.037576176,.03207799,.050965179,.052087195,8.1947327,1.0552504,1.8284041,0,0,0,0
2013,56,Wyoming,WY,.25968751,.61284149,59400,.84297985,.017788986,.0089558344,.090894222,.29040921,6.6591377,.97827542,5.148818,0,0,0,0
2014,1,Alabama,AL,.35462719,.52107954,42500,.68483144,.25975403,.015126729,.023809653,.23459461,6.4441266,1.0578679,4.8253622,0,0,0,0
2014,2,Alaska,AK,.26193243,.56273925,72500,.714266,.0019585441,.091750264,.051010031,.15426132,8.6462917,1.0315827,4.3435063,0,0,0,0
2014,4,Arizona,AZ,.36378559,.49472746,50000,.57279944,.042469967,.045841362,.28698781,.01151529,6.5943856,.98938066,1.7975234,0,0,0,0
2014,5,Arkansas,AR,.40626401,.47358674,41000,.73334503,.15451927,.025628792,.056525506,.30578732,6.5332398,.85289454,5.596067,0,0,0,0
2014,6,California,CA,.34381866,.52960855,61000,.38134402,.049758583,.18443355,.34422475,.0070500709,7.808002,1.1749243,2.7163198,0,0,0,0
2014,8,Colorado,CO,.30180553,.59237945,60200,.71765721,.032242358,.041774809,.1741686,.055791736,8.0771255,1.2304265,3.3421299,0,0,0,0
2014,9,Connecticut,CT,.34036112,.59049922,69900,.69636548,.095341735,.069554217,.11159555,.046322633,8.4744892,1.8906341,2.7525408,0,0,0,0
2014,10,Delaware,DE,.34958112,.57186615,59200,.60909986,.21408112,.064329416,.092693344,0,7.2358899,.88711798,1.1756985,0,0,0,0
2014,11,District of Columbia,DC,.36621425,.57658678,72200,.55895948,.25062397,.062703297,.08091329,0,11.337197,2.9139783,6.222558,0,0,0,0
2014,12,Florida,FL,.36217144,.46811295,47000,.53265196,.17509003,.036385249,.23128542,.11995991,7.2526941,1.0214496,2.2168272,0,0,0,0
2014,13,Georgia,GA,.3051382,.53132778,48800,.55570799,.31109497,.048292551,.066146441,.26595798,6.5551896,1.2161615,2.4560916,0,0,0,0
2014,15,Hawaii,HI,.32156771,.62965453,70000,.17116559,.015156989,.45111972,.10773907,.000037353573,8.6435175,1.338442,3.7335486,0,0,0,0
2014,16,Idaho,ID,.3002134,.5616343,47600,.84705693,.0075089051,.019176418,.097470835,.24527396,6.4118881,.85043168,6.3017602,0,0,0,0
